# ../../src/prob2kcalPerMol.py --suffix freeEnergyLandscapes/972 --dat_file ../../data/auxCoords/meancorechol/972.dat
# # column 0: midpoint of bin
# # column 1: delG of the bin in kcal per mol
5.000000000000000000e+00	0.000000000000000000e+00
1.500000000000000000e+01	4.518501053964808778e-02
2.500000000000000000e+01	3.447412248284074110e-01
3.500000000000000000e+01	9.528318527232718660e-01
4.500000000000000000e+01	1.411557371447198062e+00
5.500000000000000000e+01	2.585538983249741296e+00
6.500000000000000000e+01	4.102995433469835973e+00
7.500000000000000000e+01	inf
8.500000000000000000e+01	inf
9.500000000000000000e+01	inf
1.050000000000000000e+02	inf
1.150000000000000000e+02	inf
1.250000000000000000e+02	inf
1.350000000000000000e+02	inf
1.450000000000000000e+02	inf
1.550000000000000000e+02	inf
1.650000000000000000e+02	inf
1.750000000000000000e+02	inf
1.850000000000000000e+02	inf
1.950000000000000000e+02	inf
2.050000000000000000e+02	inf
2.150000000000000000e+02	inf
2.250000000000000000e+02	inf
2.350000000000000000e+02	inf
2.450000000000000000e+02	inf
2.550000000000000000e+02	inf
2.650000000000000000e+02	inf
2.750000000000000000e+02	inf
2.850000000000000000e+02	inf
2.950000000000000000e+02	inf
3.050000000000000000e+02	inf
3.150000000000000000e+02	inf
3.250000000000000000e+02	inf
3.350000000000000000e+02	inf
3.450000000000000000e+02	inf
3.550000000000000000e+02	inf
3.650000000000000000e+02	inf
3.750000000000000000e+02	inf
3.850000000000000000e+02	inf
3.950000000000000000e+02	inf
4.050000000000000000e+02	inf
4.150000000000000000e+02	inf
4.250000000000000000e+02	inf
4.350000000000000000e+02	inf
4.450000000000000000e+02	inf
4.550000000000000000e+02	inf
4.650000000000000000e+02	inf
4.750000000000000000e+02	inf
4.850000000000000000e+02	inf
4.950000000000000000e+02	inf
5.050000000000000000e+02	inf
5.150000000000000000e+02	inf
5.250000000000000000e+02	inf
5.350000000000000000e+02	inf
5.450000000000000000e+02	inf
5.550000000000000000e+02	inf
5.650000000000000000e+02	inf
5.750000000000000000e+02	inf
5.850000000000000000e+02	inf
5.950000000000000000e+02	inf
6.050000000000000000e+02	inf
6.150000000000000000e+02	inf
6.250000000000000000e+02	inf
6.350000000000000000e+02	inf
6.450000000000000000e+02	inf
6.550000000000000000e+02	inf
6.650000000000000000e+02	inf
6.750000000000000000e+02	inf
6.850000000000000000e+02	inf
6.950000000000000000e+02	inf
7.050000000000000000e+02	inf
7.150000000000000000e+02	inf
7.250000000000000000e+02	inf
7.350000000000000000e+02	inf
7.450000000000000000e+02	inf
7.550000000000000000e+02	inf
7.650000000000000000e+02	inf
7.750000000000000000e+02	inf
7.850000000000000000e+02	inf
7.950000000000000000e+02	inf
