# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:31:32 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_648_lipid_systems/WE_runs/Analysis/data/multi_west_aux/scdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
-2.047500000000000320e+00 4.834771831485739635e-01 2.486116545061289429e+00 -3.156240168581034289e-01
-1.942500000000000115e+00 0.000000000000000000e+00 inf -inf
-1.837500000000000133e+00 0.000000000000000000e+00 inf -inf
-1.732500000000000151e+00 0.000000000000000000e+00 inf -inf
-1.627500000000000169e+00 0.000000000000000000e+00 inf -inf
-1.522499999999999964e+00 0.000000000000000000e+00 inf -inf
-1.417499999999999982e+00 0.000000000000000000e+00 inf -inf
-1.312500000000000000e+00 0.000000000000000000e+00 inf -inf
-1.207500000000000018e+00 0.000000000000000000e+00 inf -inf
-1.102500000000000036e+00 0.000000000000000000e+00 inf -inf
-9.975000000000000533e-01 0.000000000000000000e+00 inf -inf
-8.924999999999999600e-01 0.000000000000000000e+00 inf -inf
-7.874999999999998668e-01 0.000000000000000000e+00 inf -inf
-6.824999999999998845e-01 0.000000000000000000e+00 inf -inf
-5.774999999999999023e-01 0.000000000000000000e+00 inf -inf
-4.724999999999999201e-01 0.000000000000000000e+00 inf -inf
-3.674999999999999378e-01 0.000000000000000000e+00 inf -inf
-2.624999999999999556e-01 0.000000000000000000e+00 inf -inf
-1.574999999999999734e-01 0.000000000000000000e+00 inf -inf
-5.249999999999999112e-02 0.000000000000000000e+00 inf -inf
5.249999999999999112e-02 0.000000000000000000e+00 inf -inf
1.574999999999999734e-01 0.000000000000000000e+00 inf -inf
2.624999999999999556e-01 1.569105034795457432e-01 3.611445066553748973e+00 -8.043479840706233563e-01
3.675000000000001599e-01 1.116820642336381786e+00 1.648879452530374934e+00 4.798343247279507340e-02
4.725000000000003642e-01 1.387683788738729884e+00 1.431729370634326814e+00 1.422905147850879737e-01
5.775000000000003464e-01 5.344137091627458869e-01 2.385950392568260803e+00 -2.721224095569013679e-01
6.825000000000003286e-01 3.575376992546691612e-02 5.090464951794146486e+00 -1.446678158855708940e+00
7.875000000000003109e-01 0.000000000000000000e+00 inf -inf
8.925000000000002931e-01 0.000000000000000000e+00 inf -inf
9.975000000000002753e-01 0.000000000000000000e+00 inf -inf
1.102500000000000258e+00 0.000000000000000000e+00 inf -inf
1.207500000000000240e+00 0.000000000000000000e+00 inf -inf
1.312500000000000222e+00 0.000000000000000000e+00 inf -inf
1.417500000000000204e+00 0.000000000000000000e+00 inf -inf
1.522500000000000187e+00 0.000000000000000000e+00 inf -inf
1.627500000000000169e+00 0.000000000000000000e+00 inf -inf
1.732500000000000151e+00 0.000000000000000000e+00 inf -inf
1.837500000000000133e+00 0.000000000000000000e+00 inf -inf
1.942500000000000338e+00 0.000000000000000000e+00 inf -inf
2.047500000000000320e+00 5.808749927018100223e+00 0.000000000000000000e+00 7.640826800303918143e-01
